Week,SearchTrends,Quarterly Revenue (Billions),Closing Price,SMP Close,article_count,comp_sentiment,pos_ratio,neg_ratio
2024-02-23,39,9.4,95.62,5078.18017578125,,,,
2024-03-01,37,9.4,93.16,5078.64990234375,2.0,0.08005,0.1680840420210105,0.1060530265132566
2024-03-08,40,9.4,91.06,5175.27001953125,2.0,-0.4094,0.0365,0.137
2024-03-15,41,9.4,90.12,5178.509765625,,,,
2024-03-22,39,9.4,90.71,5203.580078125,,,,
2024-04-05,41,9.4,86.85,5209.91015625,,,,
2024-04-12,38,8.6,84.92,5051.41015625,,,,
2024-04-19,40,8.6,87.61,5070.5498046875,,,,
2024-04-26,40,8.6,88.25,5035.68994140625,2.0,0.1568,0.149,0.0815
2024-05-03,41,8.6,73.11,5187.7001953125,1.0,-0.2732,0.0699300699300699,0.1368631368631368
2024-05-10,52,8.6,76.11,5246.68017578125,,,,
2024-05-17,45,8.6,77.85,5321.41015625,,,,
2024-05-24,40,8.6,78.87,5306.0400390625,,,,
2024-05-31,42,8.6,80.22,5291.33984375,,,,
2024-06-07,38,8.6,81.43,5375.31982421875,,,,
2024-06-14,37,8.6,79.65,5487.02978515625,1.0,-0.3597,0.1311311311311311,0.1711711711711711
2024-06-21,38,8.6,79.91,5469.2998046875,1.0,0.9313,0.296,0.0
2024-06-28,40,8.6,77.85,5509.009765625,1.0,0.0258,0.068,0.0
2024-07-05,41,8.6,76.05,5576.97998046875,,,,
2024-07-12,41,9.1,74.83,5667.2001953125,,,,
2024-07-19,45,9.1,79.27,5555.740234375,,,,
2024-07-26,39,9.1,74.05,5436.43994140625,,,,
2024-08-02,41,9.1,75.88,5240.02978515625,,,,
2024-08-09,41,9.1,75.09,5434.43017578125,,,,
2024-08-16,45,9.1,94.81,5597.1201171875,3.0,0.0674333333333333,0.019,0.0
2024-08-23,55,9.1,94.02,5625.7998046875,2.0,-0.0258,0.056528264132066,0.0600300150075037
2024-08-30,46,9.1,94.57,5528.93017578125,3.0,-0.3584,0.044,0.154
2024-09-06,42,9.1,91.15,5495.52001953125,1.0,-0.5859,0.086,0.176
2024-09-13,42,9.1,98.57,5634.580078125,,,,
2024-09-20,40,9.1,96.05,5732.93017578125,,,,
2024-09-27,39,9.1,97.36,5708.75,,,,
2024-10-04,40,9.1,96.58,5751.1298828125,,,,
2024-10-11,40,9.1,95.55,5815.259765625,,,,
2024-10-18,39,9.1,96.84,5851.2001953125,,,,
2024-10-25,40,9.1,97.31,5832.919921875,1.0,0.0,0.0,0.0
2024-11-01,41,9.1,98.87,5782.759765625,3.0,0.1101333333333333,0.1083333333333333,0.0223333333333333
2024-11-08,50,9.1,97.55,5983.990234375,,,,
2024-11-15,55,9.1,98.42,5916.97998046875,,,,
2024-11-22,41,9.1,102.5,6021.6298828125,,,,
2024-11-29,55,9.1,102.46,6049.8798828125,1.0,-0.5719,0.0,0.17
2024-12-06,41,9.1,100.11,6034.91015625,,,,
2024-12-13,43,9.1,97.42,6050.60986328125,,,,
2024-12-20,46,9.1,87.97,6040.0400390625,1.0,-0.6369,0.0,0.133
2024-12-27,69,9.1,92.25,5881.6298828125,2.0,-0.2231,0.0415,0.1085
